Date,Close,High,Low,Open,Volume
2024-11-12,157.4047393798828,161.18067889597455,155.9116984342107,160.910969980399,8483300
2024-11-13,154.5246124267578,156.95200731492946,153.8792364850758,156.80751095011414,7921700
2024-11-14,157.9441680908203,158.8496258117812,155.92133638662966,156.9616485746676,7012600
2024-11-15,154.60166931152344,158.29091963269008,153.73474994226072,157.0097950017341,9737000
2024-11-18,158.4546661376953,159.0711457098234,156.04654051250236,156.62449654176163,7814200
2024-11-19,158.65695190429688,160.12108167181086,156.67264408347629,158.00193410469782,6176800
2024-11-20,148.60061645507812,158.1656841425684,147.32911910192,157.9730370370077,14483000
2024-11-21,149.74691772460938,151.17252423993958,147.94562943294645,149.45793965714154,10685800
2024-11-22,151.0279998779297,151.11470357073196,148.0804564714932,149.10149938242535,5709300
2024-11-25,152.98342895507812,153.78291381817007,151.44222250263672,153.09901429469932,9189800
2024-11-26,151.16285705566406,155.53602149036445,150.35373036046198,153.87922985845586,9489900
2024-11-27,150.65232849121094,151.85639126591062,148.78363541122386,151.16284993184104,6337900
2024-11-29,152.70408630371094,155.58421032056876,151.95275215984105,152.29952289532213,6112000
2024-12-02,157.0386962890625,157.3661978657366,152.55958824315888,152.55958824315888,9812700
2024-12-03,156.60523986816406,157.83819911041482,155.3915497478954,155.5649277516337,6961400
2024-12-04,157.33731079101562,158.9363099213893,156.27774421036017,158.4354156170966,6721600
2024-12-05,155.30389404296875,159.2351455739495,154.85847453912595,157.43412718870633,7279800
2024-12-06,154.45179748535156,155.30389666801722,152.25379174585166,155.30389666801722,9918400
2024-12-09,155.64280700683594,157.76334788504332,152.47649727374457,152.4861748465045,9481200
2024-12-10,151.49851989746094,156.3690129145239,151.09182547135634,155.6718435768006,8683600
2024-12-11,154.7616729736328,155.37169993057847,151.99236512095894,152.30220999874686,7081800
2024-12-12,153.22207641601562,154.403390330178,151.94392767941258,153.63843364768755,5796100
2024-12-13,153.5028839111328,154.6164105682314,151.6534480146323,153.22208654735925,8886700
2024-12-16,152.88316345214844,153.67716759595183,149.13588941106192,153.14460564278113,9951100
2024-12-17,152.91220092773438,154.90687395358725,151.5275547150975,151.5275547150975,7187400
2024-12-18,148.1966552734375,156.04948076023734,147.4898083408791,153.2317558274765,10295200
2024-12-19,145.63070678710938,150.53994069671964,145.30149196662128,149.1456017218026,8414800
2024-12-20,148.04173278808594,149.66846630057466,144.6914457096363,144.83669795222517,17347100
2024-12-23,153.22207641601562,153.65780356715956,149.64908718178017,150.72388870122566,8863200
2024-12-24,154.3065643310547,154.34528939729356,152.54427093131866,153.60939493939213,2839600
2024-12-26,153.5028839111328,154.5002205935555,152.36030976036525,152.40871239986654,3846900
2024-12-27,152.2537841796875,152.74760630423583,150.58832573719772,152.20536676945667,7232500
2024-12-30,149.67813110351562,151.17898216603157,148.92286678623492,150.30751310960983,5356000
2024-12-31,148.74859619140625,150.8981995999397,148.35160881094103,149.81372032173257,4423300
2025-01-02,148.7679443359375,152.51521861647157,147.94489264890697,150.0944957427581,5009100
2025-01-03,152.8250732421875,153.41573019506865,149.59099113457177,150.49149292220466,5885800
2025-01-06,154.78102111816406,160.41645609089383,154.2775066408159,154.2775066408159,9599800
2025-01-07,155.42977905273438,158.26685918045365,154.20004769084395,156.86284286289933,7666000
2025-01-08,154.03543090820312,155.11023239397036,151.96329283721,154.97467251175283,7731900
2025-01-10,152.00204467773438,153.2608236771774,150.6173981207922,152.69921413050523,6236800
2025-01-13,152.1472625732422,152.3796424884067,149.89114732237078,150.29782694882698,5714700
2025-01-14,154.47117614746094,155.90424003811174,151.59535601813147,155.06183315525064,6476500
2025-01-15,159.19639587402344,160.203409919384,156.9499583325706,156.95965067838625,9284000
2025-01-16,156.3109130859375,160.58107185699754,156.16567562090287,160.10661962127097,7188900
2025-01-17,159.34164428710938,160.3583507483136,157.92795054289036,160.13564840297576,8097500
2025-01-21,161.96572875976562,163.33100521970167,160.1066153819474,160.73599741365948,7380500
2025-01-22,164.84153747558594,166.63286339969565,162.8565419165076,162.98242422425346,7281700
2025-01-23,168.83087158203125,168.8502414991173,164.00879647184513,164.97708547729957,7172300
2025-01-24,166.65223693847656,169.64424669976293,166.48762956511237,169.54742665509409,5825800
2025-01-27,165.75173950195312,166.7393986309031,161.97541750143967,166.64257857507397,15632600
2025-01-28,166.11000061035156,167.9884838571799,164.4251722315127,164.82217431458866,8720200
2025-01-29,166.2649383544922,167.98849187926743,164.82218218547288,166.1100085427344,5118900
2025-01-30,166.4779510498047,168.0368972152111,165.5484017141742,166.87495315821286,6010600
2025-01-31,167.4462432861328,171.18384016730164,166.82653879274878,167.03956359749836,7800500
2025-02-03,164.84153747558594,167.10733036549877,162.73065960876175,163.5246637423606,7447100
2025-02-04,167.55274963378906,168.27896650330516,163.1567233512831,163.1567233512831,5457900
2025-02-05,170.28330993652344,171.38715884316062,164.5123007988067,167.5140027111118,15197800
2025-02-06,163.95071411132812,164.1153214819316,160.15500791594386,162.51763563504105,16293500
2025-02-07,162.63381958007812,165.8679011477218,160.7940616983959,164.44451520015153,7841700
2025-02-10,165.92605590820312,166.35210556642252,163.64089255723536,164.34773961296,6237700
2025-02-11,166.5360565185547,167.22353354230117,163.74737903370607,164.27024867465522,6588100
2025-02-12,164.8899383544922,165.50964276500753,162.9049575914587,164.17341390244175,5505700
2025-02-13,166.69097900390625,166.89432623581473,164.0959710533518,164.79314045572298,6362200
2025-02-14,166.7684326171875,167.33973443246416,165.61616618923094,167.12670964200566,4691300
2025-02-18,168.1337127685547,168.21117766679697,165.80982492096095,167.76575819563354,7292600
2025-02-19,169.6636199951172,170.90302888092867,167.85292407715747,168.4726285200632,6849600
2025-02-20,168.1918182373047,170.7965183503261,167.41718398149274,170.41888618216922,6316400
2025-02-21,160.18405151367188,169.86694207799712,159.9710415141817,169.43121495758618,12531900
2025-02-24,155.99139404296875,161.30729222730628,155.88488164132866,160.64886267165517,9827800
2025-02-25,156.10755920410156,158.150649656323,154.3840059060097,156.533608742941,8244900
2025-02-26,156.9596710205078,158.93497430871975,155.82675975713937,156.69822882319824,9161900
2025-02-27,149.54257202148438,158.07319668859384,149.2133572711457,157.19205005540576,10807200
2025-02-28,152.18600463867188,152.32156452930408,148.53555038925572,150.18165377182976,10149500
2025-03-03,148.74859619140625,155.0037515137442,147.68348683600198,153.9483197322803,9601900
2025-03-04,149.56195068359375,152.21505353542943,146.55057079434513,150.3462625419808,8956800
2025-03-05,153.46414184570312,154.10320141055396,148.1772769597558,150.12353269459746,6786900
2025-03-06,151.90650939941406,153.69777927209032,150.008167676188,150.0276420374631,7808100
2025-03-07,156.94931030273438,157.53342234473402,151.1082493010832,151.1082493010832,8727600
2025-03-10,150.87461853027344,155.04124132636446,148.5674039278618,153.18184798727307,10139900
2025-03-11,149.04440307617188,152.0914796049067,146.8637350924603,150.7480457605944,8692900
2025-03-12,148.7523651123047,151.73130401929225,147.895671362211,150.12501809245376,7117400
2025-03-13,147.91513061523438,151.50738534947806,146.435391067491,148.55765086216599,5861700
2025-03-14,152.4322052001953,152.79239916472886,149.47272633373146,149.4922006939881,5309400
2025-03-17,153.76593017578125,154.515537174717,151.3224249682047,151.47819016232395,5781000
2025-03-18,152.14990234375,155.4987798023599,151.78970832387645,153.76593283789563,6898400
2025-03-19,154.0677032470703,156.25810097446904,150.95247389457583,152.28617797956912,5871000
2025-03-20,153.76593017578125,154.90493530542864,152.37381774662995,153.81460865576682,5089300
2025-03-21,152.66586303710938,153.24996019210548,149.49221056208054,150.87459313986577,10949300
2025-03-24,155.83950805664062,156.73513562049308,154.59341624131665,155.76162546135959,6033400
2025-03-25,155.9076385498047,157.1926790282977,155.19698032707865,155.64480151477375,3978200
2025-03-26,154.19427490234375,156.55016772615488,152.69507577976805,155.226193303603,5960300
2025-03-27,153.78538513183594,155.0314768183672,151.62419161356792,154.01903289352978,6102000
2025-03-28,148.6744842529297,153.4641528257855,147.54520881541586,152.76322426833468,8918000
2025-03-31,149.54090881347656,149.77455661912316,143.96269928812757,146.81507716594933,8613600
2025-04-01,148.9957275390625,149.25857943198514,146.27962597289488,148.35320729173407,5708900
2025-04-02,149.9984588623047,151.34190774070814,146.3867293527278,146.79560186907074,5377200
2025-04-03,135.726806640625,143.49541481254764,134.8895871736547,143.1060166275055,16465000
2025-04-04,124.08360290527344,132.26108965584274,123.32426617616575,130.78135006763384,19018600
2025-04-07,126.28373718261719,133.56558890705955,117.60002847280926,121.2896253858988,17938300
2025-04-08,121.35777282714844,131.70617510574783,118.51511768581386,127.65638437269038,14965900
2025-04-09,139.78634643554688,141.0227087291087,120.90025174354601,121.84455796360496,21242600
2025-04-10,130.8397674560547,135.37632864045742,125.86512964413895,133.38062972113468,14898800
2025-04-11,135.561279296875,136.92418747364513,127.63690780146011,130.45035135210952,10955300
2025-04-14,135.5028839111328,139.3190420223596,133.20539929926719,138.96857776446194,6930300
2025-04-15,134.92849731445312,137.10915029434935,134.37358946215744,135.7657165419731,6346800
